text;definition;example;frequency;category
rain or shine;Whatever happens, no matter whether it is rainy or sunny.;I'll be on time, rain or shine.;0;nature
raise eyebrows;To cause surprise or mild disapproval.;The way the children behaved raised a few eyebrows the hosts.;0;parts of the body
raw deal;Said when someones is ill treated.;Mary got a raw deal. She was innocent, but she had to pay a big fine.;0;relationship
read the riot act;To warn or reprimand someone energetically or forcefully;The principal read the riot act to the trouble makers;0;law
red flag;A sign or signal that something is wrong cue, it is a warning, or alert.;She considered that playing with her feelings was a red flag. She wouldn't tolerate anyone to do so.;0;colors
red handed;Be discovered in or just after the act of doing something wrong or illegal;She was caught red-handed, stealing a ring.;0;colors
red ink;A euphemism for financial loss.;There is too much red ink in the company's financial statement.;0;colors
red-letter day;A particularly significant day (personal or sectarian), usually very positive, sometimes very negative.;Monday was a red letter day for her. She accomplished a lot and had fun doing it.;0;colors
reinvent the wheel;To waste one's time doing something that has already been done satisfactorily.;Just use our guide book to and don't try to reinvent the wheel.;0;technology and science
religious about doing something;To be strict and conscientious about something.;He is religious about respecting the law.;0;religion
ride shotgun;This idiom means to sit in the front passenger seat of a vehicle during a trip. Figuratively, the idiom refers to the support or aid given to someone in a situation or project.;Would you like to come to the party and ride shotgun? We really need your help!;0;war
right as rain;This idiom is used to mean that everything is perfectly fine, all right;She had had a lot of problem with her parents. But as soon as she got married, everything was right as rain for her.;0;weather
right down to;Considering even minor things or people.;We are all concerned with obeying the law, from the minister down to the common man.;0;general
right on the button;To be exactly right.;Her remarks were right on the button.;0;general
ripe old age;Very old age.;After living to a ripe old age, she died yesterday.;0;age
road rage;Aggressive behavior exhibited by drivers in traffic, often as a result of stress.;Many road accidents are the result of road rage.;0;travel
roll one's sleeves up;This idiom means to prepare for hard work.;Let's roll up our sleeves, work together, and try to get the work done.;0;clothes
Rome wasn't built in a day;Said to emphasize that great work takes time to do. Nothing of importance can be done in a short period of time.;Don't expect immediate outstanding earnings fom your new buisiness. Rome wasn't built in a day.;0;time
roof something over;To build a roof over something.;After the earthquake they had to roof the shed over.;0;home
root and branch;Completely.;They have reorganized their business root and branch.;0;nature
rough time;This idiom means a hard or bad time.;It was such a rough time.;0;time
round the clock;This idiom refers to something happening or done all day and all night.;They have been working round the clock to solve the problem.;0;time
run a red light;This idiom means to continue driving through an intersection having a red traffic light without stopping.;I was so late to work and to make matters worse I got a ticket for running a red light yesterday.;0;colors
run for one's life;This idiom means to run away to save one's life.;A lion escaped from the zoo. Run for your life.;0;life
run out of steam;To lose the energy, enthusiasm or interest to continue doing something.;After having worked for twenty years as a the manager of the company, he seems to run out of steam.;0;technology and science
run with the hare and hunt with the hounds;To support both sides of an argument.;She never takes a clear position in any dispute. She always tries to run with the hare and hunt with the hounds.;0;animals
running battle;This idiom refers to an argument that continues over a long period of time.;He was fired because he had a running battle with his boss.;0;war
sacred cow;Anything someone believes in without ever being able to question or criticize.;He didn't like to discuss the sacred cow of his new religious beliefs.;0;animals
safe and sound;Safe and without injury or damage.;The kids returned from the excursion safe and sound.;0;health
safety in numbers;By being part of a large physical group or mass, an individual is proportionally less likely to be the victim of a mishap, accident, attack, or other bad event.;Nobody went sightseeing alone, knowing that there was safety in numbers.;0;numbers
sail against the wind;To work to achieve something that is difficult because most people would oppose it.;The journalist is sailing against the wind in his attempt to change people's negative attitude towards that politician.;0;nature
sail close to the wind;To act just within the limits of what is legal or acceptable.;His business is doing well although he sometimes sail close to the wind.;0;nature
sail through something;To pass or progress quickly and easily.;He sailed right through his homework.;0;travel
salt of the earth;Said about somone who is honest and good.;He is the salt of the earth. He always helps the poor.;0;nature
save face;To take an action or make a gesture intended to preserve one\'s reputation or honor.;They tried to win their last match in the championship just to save face.;0;parts of the body
save money for a rainy day;This idiom means to reserve money for a time when it might be needed unexpectedly.;I Kept some extra money for a rainy day.;0;money
save the day;This idiom means to rescue someone or a situation from danger or failure.;Thank you very much my dear. You really saved my day.;0;time
say uncle;To admit failure.;I'll show them how I can be a superstar. I'm not going to say uncle.;0;relationship
Say your piece;Tell what you have to say;Stop annoying us. Say your piece and go.;0;general
scaredy cat;Someone who is easily frightened.;Come on, scaredy cat. The dog won't bite you!;0;animals
scarlet woman;This idiom refers to a prostitute, an immoral woman, particularly one who commits adultery.;She was the scarlet woman of the town.;0;men and women
scratch one's head;This idiom means to think hard or wonder about something.;Faced with the new evidence, the great detective scratched his head.;0;parts of the body
scream bloody murder;To protest loudly and angrily as if something very serious has happened.;There is no point in screaming bloody murder about the new law.;0;crime
scream blue murder;To shout or complain loudly because you are annoyed about something.;Because he didn't get what he wanted, he screamed blue murder.;0;colors
see a man about a dog;Used as an excuse for leaving without giving the real reason (especially if the reason is to go to the toilet, or to have a drink);Please, wait for me here. I won't be long. I'm just going to see a man about a dog.;0;animals
see someone's point;To understand the meaning that someone is trying to convey.;Yes, I see your point and I think you are absolutley right.;0;general
sell ice to Eskimos;To persuade people to go against their best interests or to accept something unnecessary or preposterous.;He's such a smooth talker, he could sell ice to Eskimos.;0;nature
sell like hotcakes;This idiom refers to something that is sold very quickly and in large numbers.;The store is selling the books like hotcakes.;0;food
sell your soul to the devil;This idiom means to be willing to do anything for money or some other reward.;She sold her soul to get married to the old rich millionaire.;0;religion
send love to someone;This idiom refers to an affectionate greeting or message given to someone.;Lisa sent her love to all the family.;0;love
send shivers down someone's spine;To terrify, to make someone feel extremely nervous.;Hearing that the killer escaped prison sent shivers down my spine.;0;parts of the body
send up a trial balloon;To test public opinion and response to something.;They had an excellent idea for the project. They sent up a trial balloon but the response was very negative.;0;general
separate the wheat from the chaff;To separate things of value from things of no value.;We got a lot of applicants for the job. But we are trying to separate the wheat from the chaff.;0;food
serve time;Saying that someone is serving time means that he is in prison.;After the gangster had served his time in jail, he got married and found a job.;0;crime
set a thief to catch a thief;The best person to catch a thief is another thief, because he or she knows how thieves think.;The government set a thief to catch a thief. They hired a hacker to entrap other hackers who tried to break into the Pentagon's databases.;0;crime
set the ball rolling;Start something, especially a conversation or a social event.;There was a quiet atmosphere in the party so I decided to set the ball rolling and got up to dance.;0;sport
set the wheels in motion;To initiate a chain of events necessary to help one achieve a goal (more quickly);His contribution to the project will surely set the wheels in motion.;0;general
shake a leg;Used to tell someone to rouse themselves from sleep and get out of bed.;Shake a leg or we'll miss the party!;0;parts of the body
shake in one's shoes;This idiom mean to be very terrified or anxious.;He was shaking in his shoes when he was face-to-face with the criminal.;0;clothes
shape up or ship out;To either improve one's behavior or else be required to leave, to either improve one\'s performance in an activity or else withdraw from that activity completely.;After his many serious mistakes, the boss warned him that he had to shape up or ship out.;0;general
she'll be apples;Everything will be all right.;What about our trip to the mountain. They say it will snow all night long. Don't worry. She'll be apples.;0;food
shelf life;The length of time something will last.;This medicine has a short shelf life.;0;life
shift gears;To change what you are doing in a sudden way.;I'd like to shift gears and start a new job.;0;general
shiver down one's spine;This idiom refers to a feeling of fear excitement, nervousness or anticipation.;The boy felt a shiver down his spine at the thought of the punishment he will get from his teacher.;0;parts of the body
shoot the works;To spend all the money you have or to try as much as you can to do something.;We shot the works on our son's education.;0;work
shot across the bow;This idiom indicates a warning to stop doing something.;The way the teacher scolded the kids after class is a shot across the bow.;0;war
shot in the dark;This idiom refers to a hopeful attempt at something or a wild guess especially when you have no certain information or knowledge about the subject.;It was just a shot in the dark, but I was right!;0;war
shotgun marriage;When the bridegroom is forced to marry the bride he made her pregnant.;It was a shotgun marriage. Nancy was three months pregnant when she married John.;0;sexuality
shoulder to cry on;Said about a person someone to whom you can tell your problems to and then ask for sympathy, emotional support and advice.;Lacy needs a shoulder to cry on. Her father died yesterday.;0;parts of the body
signed, sealed and delivered;This idiom refers to a document or an agreement which has been officially signed and completed satisfactorily.;John: Hey, have you finalized the purchase of the estate yet? Yes, I got all the documents... signed, sealed, and delivered!;0;law
sing the same tune;to agree about a subject in public in spite of someones disagreement.;He wanted his ministers to be singing the same tune before the press conference.;0;music
sink or swim;To be left on your own, without any help, and you have no choice but to fail or succeed. The idiom alludes to the choices available to someone who has fallen into the water.;It's sink or swim for her. It's too late to help her now.;0;general
sitting duck;Said about someone or something vulnerable to attack.;Because of his unpopular opinions about foreign policy, he made of himself a sitting duck.;0;animals
skin and bones;To be underweight and look bad, to be extremely thin.;Because of her illness she was nothing but skin and bones.;0;parts of the body
skin someone alive;To punish someone severely.;My parents will skin me alive if they see my grades.;0;parts of the body
slice of life;This idiom refers to a realistic representation of everyday experience in art and entertainment (e.g. a movie, play, book..);The movie is a slice of life about the life of a group of students.;0;life
snake in one's bosom;This idiom refers to a person whom one has treated well and taken care of but turned out to be traitorous, untrustworthy, or ungrateful.;He loved her so much and treated her like a queen. But, after ten years of marriage, he found out that he had cherished a snake in his bosom. She run off with a younger man.;0;animals
snake in the grass;This idiom refers to a treacherous or deceitful person.;He's a guy you can't trust, a snake in the grass.;0;animals
snake oil salesman;This idiom refers to a person who who knowingly sells fraudulent goods or who is himself a fraud, quack, or charlatan.;Don't believe those snake oil salesmen on TV selling holistic medicines.;0;animals
soaked to the bone;This idiom means to be completely wet or drenched.;It was raining cats and dogs. We knew we would be soaked to the bone, but we had to walk on to arrive on time to our destination.;0;parts of the body
sour as vinegar;To be very sour and disagreeable.;Mike is sour as vinegar this morning.;0;food
sour grapes;This idiom refers to something that one cannot afford and so speaks about it as if it were never desirable.;He thinks that it isn't a beautiful house, but that's just sour grapes because he can't afford it.;0;food
speak of the devil;Used about someone who appears unexpectedly while being talked about.;Speak of the Devil! look who's coming.;0;religion
spike someone's guns;This idiom means to ruin someone's plans or prevent someone's success.;The rain has spiked our guns. We cannot go for a picnic as planned.;0;war
spill the beans;To reveal a secret.;Why did you spill the beans about our new project? It was supposed to be top secret.;0;food
spring chicken;To be old, not young anymore.;She is not a spring chicken. She wouldn't like to go partying with us.;0;animals
Spuntnick moment;This idiom refers to a moment of challenge when a society or person realizes they must work harder to surpass their competitors.;"This generation's ""Sputnik moment"" has arrived, President Barack Obama declared in his State of the Union address, referring to the United States' need to invest in research and development to revive the economy and ensure future stability.";0;technology and science
stage whisper;To say something in a loud whisper with the intention of being overheard.;"She told him in a stage whisper, ""I am fed up with your behavior""";0;art
stand the test of time;To last for a long time.;Their marriage has stood the test of time.;0;time
state of the art;This idiom reflects the highest level of development, something that is very up-to-date.;This car reflects the state of the art in automobile industry.;0;art
step into somebody's shoes;To take over someone's place or job.;Who do you think will step into Leila's shoes when she leaves?;0;clothes
stick to one's guns;This idiom means to refuse to change one's convictions or beliefs, to maintain one's position in the face of opposition.;They stuck to their guns and continued the fight for civil rights;0;war
stiff upper lip;This idiom displays fortitude in the face of adversity, or exercises self-restraint in the expression of emotion.;He always has a stiff upper lip. He never complains.;0;parts of the body
stir up a hornets' nest;To make trouble.;Don't bring up that topic again in the meeting. You will be stirring up a hornets' nest.;0;animals
stool pigeon;A decoy or an informer, especially one who is a spy for the police.;He was killed by a gangster because he was thought to be a stool pigeon.;0;crime
storm is brewing;This idiom means that there is going to be a storm. It may also mean that there is going to be trouble or emotional upset in the near future.;It is very cloudy today. A storm is brewing.;0;nature
strapped for cash;To be short of money.;I'm strapped for cash, can you lend me ten dollars?;0;money
strike a chord;To remind you of something, it seems familiar to you or you are interested in it.;That woman struck a chord with me. It seems to me that I had seen her before.;0;music
sweat blood;To work very hard.;She sweats blood every day just to bring home the bacon.;0;work
sweep something under the carpet;To hide or ignore something.;You've made a terrible mistake. Don't try to sweep it under the carpet!;0;furniture
sweep something under the rug;To hide something because it's embarassing.;Because many famous people were involved in the affair, everything was swept under the rug.;0;home
swim against the tide;This idiom means to do something that is in opposition to the prevailing opinion or tendency.;Don't waste your time and energy swimming against the tide.;0;sport
take a deep breath;This idiom means to pause, especially in order to make oneself feel strong and confident.;She took a deep breath before doing the hardest part of her work.;0;health
take a dim view of;To disapprove of something.;I know the question is difficult to answer. Yet, I'd like to take a stab at answering it.;0;war
take for a ride;To deceive or cheat.;It was only when he discovered that his wallet was gone that he realized they had taken him for a ride.;0;travel
take forty winks;This idiom means to take a nap for a short period of time.;I'll just take forty winks before getting ready for work.;0;numbers
take it on the chin;If you take an unpleasant event or a difficult situation on the chin, you accept it bravely and without complaining.;I took the criticism on the chin and went on working on the project until I succeeded.;0;parts of the body
take it on the lam;To run away.;The criminal had to take it on the lam.;0;general
take it or leave it;Said about an offer when you either accept it or reject it completely.;This is my offer, take it or leave it.;0;general
take one's hat off to someone;Said when you admire someone for an achievement.;If she manages to deal with three small children and a full-time job, I'll take my hat off to her.;0;clothes
take someone's life;To kill someone.;The floods took hundreds of lives.;0;life
take the bit between one's teeth;To take charge.;The company needed a new manager for the project. So he took the bit between his teeth.;0;parts of the body
take the bull by the horns;To deal with a matter in a direct manner, especially to confront a difficulty rather than avoid it.;He was ready to take the bull by the horns and settle the problem he had with his partners.;0;animals
take the cake;The phrase take the cake is mainly an American idiom that means to be especially bad, outrageous, or objectionable.;Have you seen how she lies about her ex-husband? I've seen a lot of liars, but she takes the cake;0;food
take the fifth;To decline to answer, especially on grounds that it might be incriminating.;If you ask me who stole the wallet, I will simply take the fifth.;0;numbers
take to something like a duck to water;To have a natural ability to do something.;She took to motherhood like a duck to water.;0;animals
talk a mile a minute;This idiom means to speak very fast, to talk in a very quick or hurried manner.;I can never follow everything he's tries to say. He talks a mile a minute.;0;language
talk is cheap;This idiom means it is easier to say you will do something than to actually do it.;My elder brother promised to help me with my homework, but talk is cheap.;0;language
talk nineteen to the dozen;To speak very quickly.;I couldn't understand what he was saying because he was talking nineteen to the dozen.;0;numbers
talk through one's hat;To talk nonesense;He was talking through his hat. I couldn't understand what he was saying.;0;clothes
tar with the same brush;This idiom means to describe them using the same undesirable attribute, especially unjustly.;We shouldn't tar all athletes with the same brush because not all of them resort to doping.;0;art
tear your hair out;Said when you are feeling a lot of anxiety over a problem.;He's been tearing his hair out over his deteriorated relationship with his wife.;0;parts of the body
tempest in a teapot;This idiom refers to a small event that has been exaggerated out of proportion.;The whole fight between the two companies is just a tempest in a teapot.;0;nature
tender age;A young age.;It's easier to learn languages at a tender age.;0;age
that beats everything;Expressions of surprise.;You mean he came very late again last night? Well, that beats everything!;0;sport
that makes two of us;This idiom means that the same thing is true for you.;I just bought a new car. That makes two of us!;0;numbers
that's the way the cookie crumbles;Said to show that things don't always turn out the way we hope.;In spite of her kindness she is the least popular in her class. But, that's the way the cookie crumbles.;0;food
the ball is in someone's court;Someone has to take action.;The ball is in your court now. You should decide what you want to do.;0;sport
the battle of the sexes;This idiom refers to the conflicts and disagreements between men and women.;Gender equality is meant to end the battle of the sexes.;0;sexuality
the boot is on the other foot;Said about a change of positions when someone whon was in a weaker situation is now in strong position.;Don't expect him to make any more changes in the manageement of the company, especially after his appointment as the new manager of the project. The boot is on the other foot.;0;clothes
the chill wind of something;Problems, trouble.;World economies are facing the chill wind of the recession.;0;nature
the customer is always right.;In order to make profit, it is necessary for a business to satisfy customers' wishes and make them happy.;Look at that waiter! He always argues with customers. He doesn't know that the customer is always right.;0;general
the dismal science;This idiom refers to the discipline of economics.;He is interested in history and the dismal science.;0;technology and science
the home straight;The last part of a difficult work.;It was just suc a difficult project to work on, but we are on the home the straight.;0;home
the home stretch;The last part of a difficult work.;We are in the home stretch after a year of hard work.;0;home
the jury is out;An outcome or decision is still unknown and awaited.;The jury is out as to whether there is life anywhere else in the universe.;0;general
the letter of the law;This idiom is used when one is obeying the literal interpretation of the law, but not the intent or the spirit of those who wrote the law.;Judges mustn't follow the letter of the law, but its spirit.;0;law
the long arm of the law;This idiomatic expression refers to the far-reaching power of the authorities or the police.;Don't try to escape! The long arm of the law will catch you wherever you may go.;0;law
the men in grey suits;This idiom refers to the powerful and influential men in business or politics.;The men in grey suits will decide the future of this nation.;0;clothes
the mother of all;An extreme example which is the biggest, most impressive, or most important of its kind.;Failure is the mother of all success.;0;relationship
the spirit of the law;One is doing what the authors of the law intended, though not necessarily adhering to the literal wording.;A judge who adheres to the spirit of the law is concerned with the intent and purpose of the lawmaker.;0;law
the straw that broke the camel's back;The small thing which causes failure, or causes inability or unwillingness to endure any more of something;When the boss saw him coming late to work. That was the straw that broke the camel's back. He fired her immediately.;0;animals
the third degree;This idiom designates a close interrogation.;I don't know why you always give me the third degree every time I hang out with my friends.;0;numbers
the weed of crime bears bitter fruit;This idiom means that nothing good comes from criminal schemes.;Don't mislead yourself. You will pay for your crimes one day, the weed of crime bears bitter fruit.;0;crime
them and us;Used when describing disagreements or differences especially between different social groups;There is a them and us situation in the company after the disagreement between the boss and his workers about the working conditions.;0;relationship
there is honor among thieves;This idiom means that even among criminals there is honor and that they do not commit crimes against each other.;The gangsters had a strong respect for their old boss which demonstrate that there is honor among thieves.;0;crime
thick as thieves;Intimate, close-knit.;Alan and John attended a boarding school together and were thick as thieves.;0;crime
throw in the towel;To admit defeat.;After a long fight agaisnt his enemies, he finally threw the towel.;0;sport
throw your hat into the ring;To show your intention to enter a competition.;Nearly a year before the elections, he threw his hat into the ring.;0;clothes
thumbnail sketch;This idiom refers to a short description or small picture.;The accountant gave a thumbnail sketch of the financial situation of the company.;0;art
thumbs down;This idiom indicates rejection, disapproval or failure.;The performance got the thumbs-down from the audience.;0;parts of the body
thumbs up;This idiom indicates satisfaction or approval.;The audience gave the performance the thumbs-up.;0;parts of the body
tighten your belt;This idiom means to try to spend less money or use less resources.;Going on holiday abroad cost us a lot of money so we're all going to have to tighten our belts.;0;clothes
time flies;This idiom means that time passes very quickly especially when you're having fun.;Time flew while they were talking about the old beautiful days.;0;time
time is money;This idiom means that one should not waste time, because one could be using it to earn money.;I have to wake up and go to work - time is money;0;money
to a fine art;This idiom refers to something done in a way that is based on highly developed skill.;This company elevates web design to a fine art.;0;art
to a man;This idiom means without exception.;All the neighbors were present at the meeting and they all, to a man, agreed to help the poor family.;0;men and women
to pull the trigger;To commit to a course of action.;Some traders are too afraid to pull the trigger and just watch the market without ever getting involved.;0;general
to sell wolf tickets;To make empty threats or promises, to bluff;You're selling wolf tickets.;0;animals
to the hilt;Completely, fully, to one's limit;John has borrowed money from the bank to the hilt.;0;war
to the last;Until the completion of something or until death.;Don't worry I'll support to the last.;0;time
to this day;Until now.;He disappeared and to this day nobody knows what happened to him.;0;time
to wash one's hands of;To absolve oneself of responsibility or future blame for.;I wash my hands of this whole affair.;0;parts of the body
toot one's own horn;To boast, to brag;She really likes to toot her own horn.;0;music
tough love;A way of helping someone with compassionate use of stringent disciplinary measures. The aim is to attempt to improve their behavior.;The only way help him get rid of his drug-addiction is to adhere to the principle of tough love.;0;love
track record;This idiom refers to a person or organization's past performance in any type of endeavor.;They have a strong track record in creating successful websites.;0;sport
traffic jam;A lot of vehicles causing slow traffic.;We got stuck in a traffic jam for more than an hour.;0;food
trick of the trade;A clever skill related to a profession.;He is so skillful. He learned te trick of the trade from his father.;0;general
trip the light fantastic;To dance.;We were tripping the light fantastic all night.;0;travel
turn up like a bad penny;A person or thing which is unpleasant, disreputable, or otherwise unwanted, especially one which repeatedly appears at inopportune times.;He always turns up like a bad penny.;0;money
turn back the clock;Figuratively to return in time to an earlier period of history.;When their relationship had started deteriorating, he told her that they should turn back the clock and just go back to when things were simpler.;0;time
turn the tables;This idiom refers to a change from being in a weaker position in relation to someone else to being in a stronger position by gaining the upper hand over a competitor, rival, or enemy.;Our team finally turned the tables on their old rivals.;0;furniture
under a cloud;To be suspected of something.;After the murder of the kid, all the relatives were under a cloud of suspicion.;0;nature
under age;This idiom means to be too young to be eligible for something.;This program is not for people under age.;0;age
under canvas;This idiom means to be in a tent.;The soldiers are under canvas.;0;art
under construction;Said about something which is being built or fixed.;The house has been under construction since last month.;0;general
under one's belt;This idiom refers to something that you have learned, mastered or achieved and that might be an advantage for you in the future.;I see that you already have the techniques of drawing under your belt.;0;clothes
under one's nose;Directly in front of one, clearly visible.;They were stealing his money just under his nose.;0;parts of the body
under one's thumb;Completely controlled by someone, at someone's command.;She has her husband under her thumb. He would do anything for her.;0;parts of the body
under pressure;To be facing something in a stressful environment due to a pressure or a deadline.;They have been under a lot of pressure recently becaues of the huge work they have been doing.;0;general
under the gun;This idiom means that you are under pressure.;We're all under the gun to meet the deadline.;0;war
under the influence;Intoxicated, inebriated, or otherwise stupefied by an ingested mind-altering substance, commonly speaking of alcohol : drunk.;He was arrested for driving under the influence.;0;general
under the sun;In existance.;If you want to spend your summer holiday, this is the most beautiful place under the sun.;0;nature
under the table;This idiom may refer to the fact of being drunk or to something that is done secretly.;After two hours of drinking, everyone was under the table.;0;furniture
under the weather;Somewhat ill or gloomy.;How have you been? I've been under the weather. But it's OK now.;0;weather
under the wire;At the last minute, before the deadline, barely on time, nearly late.;He turned his report just under the wire.;0;time
until hell freezes over;This idiom means that one will never in their life get the results that they want.;He can wait for my approval until hell freezes over - He won't marry my daughter.;0;religion
until one is blue in the face;Pointless efforts while trying to convince someone or change his mind.;His parents tell him to do his homework until they are blue in the face. In fact, he never does his homework.;0;colors
unwritten law;This idiom refers to an accepted rule in spite of its informality.;It's an unwritten law to take your hat off during the national anthem.;0;law
up in the air;Uncertain, unsettled.;The future of the company is still up in the air.;0;nature
up to the minute;The most modern;The internet is an excellent source of up to the minute news.;0;time
up-to-date;Current, recent, the latest;He uses an up-to-date theory to expalin his views.;0;time
vale of tears;The world considered as sad and harsh.;His grandfather left this vale of tears yesterday.;0;nature
vanish into the air;To disappear.;The money just vanished into the air. I can't find it anywhere.;0;nature
variety is the spice of life;Frequent changes in one's life makes life interesting.;They frequently change the furniture of the house because they think that variety is the spice of life.;0;food
virgin territory;A place that hasn't been touched orexplored.;There is no sign of humans in that island. It's a virgin territory.;0;sexuality
wag one's chin;To talk.;Stop wagging your chin and do something.;0;parts of the body
wait and see;To wait to see what will occur after.;The new manager hasn't announced his new plan yet. We'll have to wait and see.;0;general
wait for the ball to drop;To wait in expectation of an occurrence.;When the scandal was publicly revealed, he waited for the ball to drop as he was involved.;0;sport
wait for the other shoe to drop;To await a seemingly inevitable event, especially one which is not desirable.;He was waiting for the other shoe to drop once some of his companions had been captured by the official authorities,;0;clothes
wait on someone hand and foot;To serve someone well, satisfying all personal needs.;She can't take care of herself. She always needs someone to wait on her hand and foot.;0;parts of the body
wake up on the wrong side of bed;To feel grumpy, irritable, to be easily annoyed.;She must have woken up on the wrong side of the bed this morning. She didn't stop shouting all day long.;0;home
walk of life;An occupation, role, social class, or lifestyle.;People in this neighbourhood come from different walks of life.;0;general
walk on air;Very excited or happy.;He was walking on air after he passed the exam.;0;nature
walk on eggs;This idiom means to be very careful in dealing with a person or situation.;I was walking on eggs when I told her the truth.;0;food
walk on eggshells;To be overly careful in dealing with a person or situation, to be careful and sensitive, in handling very sensitive matters.;He was walking on eggshells when he was talking to him about his wife.;0;food
walk the talk;To do what one said one could do, or would do, not just making empty promises.;If our company promises to protect the environment, we have to walk the talk.;0;sport
Walter Mitty;A person, generally quite ordinary with unexceptional qualities, who is prone to fantastic daydreaming of personal triumphs.;If you are a Walter Mitty with Everest dreams, you need to bear in mind that when things go wrong up there, you may lose your life.;0;names
war of nerves;This idiom refers to a conflict using psychological techniques rather than direct violence in order to weaken the enemy.;In the future, war will not merely be one of men and machines, it will be a war of wills and a war of nerves.;0;war
war of words;An argument between two people or groups.;The war of words between the two tcountries hasn't ceased to for a long time.;0;war
war zone;This idiom refers to an area where war or some extreme violence is taking place.;It is heart breaking to see images of dead or injured children from a war zone.;0;war
waste breath;To speak in a manner which is needless or futile, in discussion or argument to make points which are not appreciated or heeded.;Please don't waste your breath asking me ridiculous questions.;0;general
watch one's mouth;To be careful about what one says, especially with regard to disrespectful or profane language.;Watch your mouth when you speak to him. He's the boss.;0;parts of the body
watch the clock;To keep noticing the clock because you are eager to stop what you are doing.;If you are someone who watches the clock, then this job is not for you.;0;time
watch this space;An indication that a development will follow.;He has ambitious plans. Watch this space!;0;general
watch your language;This idiom means pay attention to what one is saying.;Don't talk that way! Watch your language.;0;language
wax and wane;To increase and decrease.;His love for politics has waxed and waned over the years.;0;general
weak at the knees;To be affected by a strong emotion and to feel as if you are going to fall down.;She felt weak at the knees every time he spoke to her.;0;parts of the body
wear the pants;To exercise authority or to be the person in charge in a relationship.;He may seem authoritative, but the truth is that it's his wife who really wears the pants in that relationship.;0;clothes
wear your heart on your sleeve;To display one's feelings openly.;Alan always has his heart on his sleeve. Everybody knows how he feels.;0;clothes
weather permitting;If the weather is fine.;Weather permitting, we will be able to go on a picnic tomorrow.;0;weather
weather the storm;To experience a very difficult situation and survive it.;They lost everything they had, but somehow they weathered the storm.;0;weather
weekend warrior;A person who indulges in a sport or pastime on an infrequent basis, usually on weekends when work commitments are not present.;The most common foot related injury I see for the weekend warrior is heel pain;0;sport
weep buckets;To cry a lot.;She cried buckets, because that was such a sad event.;0;general
well-oiled machine;This idiom refers to something that operates well.;Their office ran like a well-oiled machine.;0;technology and science
wet blanket;This idiom refers to a person who spoils other people's enthusiasm or enjoyment.;Don't invite John to the party. He's only going to be a wet blanket.;0;furniture
what beats me;Said when you do not understand a situation or someone's behaviour.;What beats me is how he passed the exam.;0;sport
what's the magic word?;This idiom is used for reminding a child to say 'please' when asking for something.;Can I have another candy, mummy? What's the magic word? Please.;0;language
wheels fall off;Said about something that has failed, often after a laborious, tiring process.;Our team was doing well for a while, but they got tired and then the wheels fell off.;0;travel
when it rains, it pours;Said when bad things occur in large numbers.;First, he had a terrible accident. Then, his wife had a heart attack. Really when it rains, it pours.;0;nature
when pigs fly;This idiom means that something will never happen.;This phrase is used presumably due to the unlikelihood that pigs will ever evolve wings.;0;animals
whet your appetite;This idiom means to increase one's desire to have it or know more about it.;This is a book that will whet people’s appetite for literature.;0;food
white as a sheet;Said about someone whose face is very pale because of illness, shock or fear.;Joe looks as white as sheet. He must be very ill.;0;health
whiter than white;Said about someone who is totally fair and honest.;That little boy is whiter than white. He never does anything wrong.;0;colors
who pays the piper calls the tune;One who pays for something controls it.;If he pays for everything, he will have power over us all. You know, who pays the piper calls the tune;0;music
wild-goose chase;This idiom refers to a pursuit of something unattainable or non-existent;She began to suspect whether she had been sent on a wild-goose chase.;0;animals
woman of ill repute;This idiom refers to a prostitute.;He started a new relationship with a woman of ill repute.;0;men and women
words fail me;This idiom expresses shock, surprise or dismay, especially when one cannot find words to express ones thoughts and feelings about something one has just seen or heard about.;Have you seen how she treats badly her husband? Yes, words fail me. I've never seen anything quite like that!;0;language
work like a charm;To work very well.;I installed the application on my cell phone and it works like a charm.;0;work
work like a dream;To work perfectly well.;The plan worked like a dream.;0;dreams
work your fingers to the bone;To work extremely hard.;He works his fingers to the bone to help his five children grow up in a healthy environment.;0;work
worth its weight in gold;This idiom refers to someone or something that is valuable.;The new manager cut down the company's expenses by 30%. She is really worth her weight in gold.;0;money
wouldn't be caught dead;Said about something that you would not like to do, or would rather die than do it.;I would not be caught dead in such a miniskirt.;0;death
X marks the spot.;Said to show the exact spot.;Would you mind moving that armchair here - X marks the spot.;0;general
X-rated;Not suitable for children.;Children ae not allowed to watch this film. It's X-rated.;0;sexuality
yellow journalism;Journalism which is sensationalistic and of questionable accuracy and taste.;This paper is practising yellow journalism with its reports on sex scandals.;0;colors
yoke around someone's neck;A burden.;They decided to buy the car on credit. This became a yoke around their neck.;0;parts of the body
you can bet your life;This idiom is used to mean that you are absolutely certain that something is true or will happen.;You can bet your life they'll get married.;0;life
you can catch more flies with honey than with vinegar;This idiom means that it is much easier to get what you want by being polite rather than by being rude and insolent.;Just be polite when you ask for something. You know, you can catch more flies with honey than with vinegar;0;food
you can't please everyone;Making everyone happy is impossible no matter what you do.;When the boss chose Mary as the chief executive of the project, everybody complained. But you can't please everyone!;0;relationship
you got me there;I can't answer your question.;I don't kow what to say. You got me there!;0;general
